warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79
3,18,29,"(39, 18)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(38, 14)","(38, 13)","(37, 13)","(36, 13)","(36, 12)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(32, 13)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(28, 15)","(28, 16)","(28, 17)","(28, 18)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(22, 20)","(22, 21)","(22, 22)","(21, 22)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(16, 25)","(15, 25)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(12, 30)","(12, 31)","(12, 32)","(12, 33)","(12, 34)","(11, 34)","(11, 33)","(10, 33)","(10, 32)","(10, 31)","(10, 30)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(2, 30)","(1, 30)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(37, 21)","(36, 21)","(35, 21)","(35, 22)","(34, 22)","(33, 22)","(33, 23)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(27, 17)","(27, 16)","(27, 15)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(24, 13)","(24, 12)","(23, 12)","(22, 12)","(22, 13)","(21, 13)","(21, 14)","(20, 14)","(19, 14)","(19, 15)","(18, 15)","(17, 15)","(16, 15)","(16, 16)","(16, 17)","(16, 18)","(16, 19)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(14, 22)","(14, 23)","(13, 23)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(8, 25)","(7, 25)","(6, 25)","(6, 26)","(5, 26)","(5, 27)","(4, 27)","(3, 27)","(3, 28)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(36, 21)","(35, 21)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(34, 29)","(33, 29)","(33, 30)","(33, 31)","(32, 31)","(31, 31)","(30, 31)","(30, 30)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(27, 28)","(27, 27)","(27, 26)","(27, 25)","(27, 24)","(26, 24)","(25, 24)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(22, 30)","(21, 30)","(20, 30)","(20, 29)","(19, 29)","(19, 28)","(19, 27)","(18, 27)","(17, 27)","(16, 27)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(14, 30)","(14, 31)","(14, 30)","(13, 30)","(12, 30)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(36, 18)","(36, 19)","(36, 20)","(36, 21)","(36, 22)","(35, 22)","(34, 22)","(34, 21)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(27, 25)","(26, 25)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(12, 23)","(12, 22)","(12, 21)","(11, 21)","(10, 21)","(10, 22)","(10, 23)","(10, 24)","(9, 24)","(8, 24)","(8, 25)","(7, 25)","(6, 25)","(5, 25)","(4, 25)","(3, 25)","(2, 25)","(2, 24)","(2, 23)","(2, 22)","(2, 21)","(2, 20)","(2, 21)","(2, 22)","(2, 23)","(2, 24)","(2, 25)","(2, 26)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(37, 19)","(36, 19)","(36, 18)","(36, 17)","(36, 16)","(36, 15)","(36, 14)","(36, 13)","(36, 12)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(31, 12)","(31, 11)","(31, 10)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(22, 10)","(22, 11)","(22, 12)","(22, 13)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(19, 15)","(18, 15)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(15, 15)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(11, 20)","(11, 21)","(11, 22)","(11, 23)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(4, 23)","(4, 24)","(4, 25)","(4, 26)","(4, 27)","(4, 28)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(38, 19)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(36, 11)","(35, 11)","(34, 11)","(33, 11)","(32, 11)","(32, 10)","(32, 9)","(31, 9)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(26, 8)","(26, 7)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(21, 10)","(20, 10)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(19, 15)","(18, 15)","(18, 16)","(17, 16)","(17, 17)","(17, 18)","(16, 18)","(16, 19)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(14, 22)","(14, 23)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(5, 25)","(4, 25)","(4, 26)","(3, 26)","(2, 26)","(2, 27)","(2, 28)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(37, 19)","(36, 19)","(35, 19)","(34, 19)","(34, 20)","(34, 21)","(33, 21)","(33, 20)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(28, 16)","(27, 16)","(26, 16)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(21, 20)","(21, 21)","(21, 22)","(21, 23)","(20, 23)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(17, 18)","(16, 18)","(15, 18)","(15, 17)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(12, 20)","(12, 21)","(12, 22)","(12, 23)","(11, 23)","(11, 24)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(8, 26)","(7, 26)","(6, 26)","(5, 26)","(4, 26)","(4, 27)","(3, 27)","(2, 27)","(2, 28)","(1, 28)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(38, 17)","(38, 16)","(37, 16)","(36, 16)","(36, 15)","(36, 14)","(35, 14)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(26, 15)","(26, 16)","(26, 17)","(26, 18)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(20, 20)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(18, 25)","(18, 26)","(18, 27)","(18, 28)","(17, 28)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(8, 28)","(8, 27)","(8, 26)","(8, 25)","(8, 24)","(7, 24)","(6, 24)","(6, 25)","(6, 26)","(5, 26)","(4, 26)","(3, 26)","(3, 27)","(3, 28)","(3, 29)","(3, 30)","(3, 31)","(3, 32)","(2, 32)","(1, 32)","(1, 31)","(1, 30)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(37, 19)","(36, 19)","(36, 20)","(36, 21)","(35, 21)","(35, 22)","(34, 22)","(34, 23)","(33, 23)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(26, 18)","(26, 17)","(26, 16)","(26, 15)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(22, 13)","(22, 12)","(21, 12)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(19, 15)","(18, 15)","(17, 15)","(16, 15)","(15, 15)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(14, 22)","(14, 23)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(9, 25)","(8, 25)","(7, 25)","(6, 25)","(6, 26)","(5, 26)","(5, 27)","(4, 27)","(3, 27)","(3, 28)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(38, 19)","(38, 20)","(37, 20)","(36, 20)","(36, 21)","(36, 22)","(36, 23)","(35, 23)","(35, 24)","(34, 24)","(34, 23)","(34, 22)","(34, 21)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(22, 13)","(22, 12)","(22, 13)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(18, 15)","(18, 16)","(17, 16)","(17, 17)","(16, 17)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(13, 20)","(13, 21)","(13, 22)","(12, 22)","(11, 22)","(10, 22)","(10, 23)","(10, 24)","(9, 24)","(8, 24)","(8, 25)","(7, 25)","(6, 25)","(5, 25)","(5, 26)","(5, 27)","(5, 28)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(36, 15)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(35, 11)","(34, 11)","(33, 11)","(32, 11)","(31, 11)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(14, 10)","(14, 11)","(14, 12)","(14, 13)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(10, 13)","(10, 12)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(8, 17)","(8, 18)","(7, 18)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(3, 19)","(3, 20)","(2, 20)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(36, 13)","(35, 13)","(34, 13)","(34, 12)","(33, 12)","(32, 12)","(31, 12)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(29, 15)","(29, 16)","(29, 17)","(29, 18)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(7, 18)","(7, 17)","(7, 16)","(7, 15)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(3, 14)","(3, 15)","(2, 15)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(37, 15)","(36, 15)","(35, 15)","(35, 14)","(34, 14)","(34, 13)","(34, 12)","(34, 11)","(34, 10)","(33, 10)","(32, 10)","(31, 10)","(30, 10)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(25, 15)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(17, 18)","(17, 17)","(16, 17)","(15, 17)","(15, 16)","(15, 15)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(13, 20)","(12, 20)","(12, 21)","(11, 21)","(11, 22)","(11, 23)","(10, 23)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(5, 25)","(4, 25)","(3, 25)","(2, 25)","(2, 26)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(36, 18)","(35, 18)","(35, 17)","(35, 16)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(35, 11)","(35, 10)","(35, 9)","(34, 9)","(33, 9)","(32, 9)","(31, 9)","(30, 9)","(29, 9)","(28, 9)","(28, 8)","(28, 7)","(28, 6)","(28, 7)","(28, 8)","(27, 8)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(21, 10)","(20, 10)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(17, 15)","(17, 16)","(17, 17)","(17, 18)","(16, 18)","(16, 19)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(14, 22)","(14, 23)","(13, 23)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(8, 26)","(7, 26)","(7, 27)","(6, 27)","(5, 27)","(5, 28)","(4, 28)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(38, 19)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(36, 13)","(36, 14)","(36, 15)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(23, 20)","(22, 20)","(21, 20)","(21, 21)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(17, 18)","(17, 17)","(16, 17)","(15, 17)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(14, 20)","(13, 20)","(13, 21)","(12, 21)","(12, 22)","(12, 23)","(11, 23)","(11, 24)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(9, 27)","(9, 28)","(8, 28)","(7, 28)","(6, 28)","(5, 28)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,18,29,"(39, 18)","(38, 18)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(37, 22)","(36, 22)","(35, 22)","(35, 23)","(35, 24)","(34, 24)","(34, 23)","(34, 22)","(34, 21)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(27, 18)","(26, 18)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(22, 13)","(21, 13)","(20, 13)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(16, 15)","(15, 15)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(3, 19)","(3, 20)","(3, 21)","(2, 21)","(2, 22)","(2, 23)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(0, 29)",,,,,
